,question,answer
3566,they are so weak.,a little cigarette controls them.
3567,a little cigarette controls them.,they look so stupid taking a puff.
3568,they look so stupid taking a puff.,and then they blow smoke out of their mouth.
3569,and then they blow smoke out of their mouth.,they think it's cool.
3570,they think it's cool.,cigarettes stink.
3571,do you have a cold?,"yes, i do."
3572,"yes, i do.",how did you get it?
3573,how did you get it?,my sister had a cold. she gave it to me.
3574,my sister had a cold. she gave it to me.,have you taken anything for your cold?
3575,have you taken anything for your cold?,"no, i just blow my nose a lot."
3576,"no, i just blow my nose a lot.",your nose is stopped up?
3577,your nose is stopped up?,yes. i have to breathe through my mouth.
3578,yes. i have to breathe through my mouth.,have you tried nose drops?
3579,have you tried nose drops?,"no, i don't like nose drops."
3580,"no, i don't like nose drops.",they work great.
3581,they work great.,i don't care. i don't like to put drops in my nose.
3582,"would you put suntan lotion on my back, please?",sure.
3583,sure.,thank you.
3584,thank you.,you shouldn't lie in the sun for too long.
3585,you shouldn't lie in the sun for too long.,i want to get a tan. i don't want to look so pale.
3586,i want to get a tan. i don't want to look so pale.,what's wrong with looking pale?
3587,what's wrong with looking pale?,people think you might be sick.
3588,people think you might be sick.,who thinks that?
3589,who thinks that?,i don't know.
3590,i don't know.,it's better to be pale than to have skin cancer.
3591,it's better to be pale than to have skin cancer.,i know that.
3592,i know that.,so why are you arguing with me? don't lie in the sun too long!
3593,i can't quit smoking.,of course you can.
3594,of course you can.,i don't have enough will power.
3595,i don't have enough will power.,of course you do.
3596,of course you do.,i wish i had never started.
3597,i wish i had never started.,so does every smoker.
3598,so does every smoker.,i've tried to quit so many times.
3599,i've tried to quit so many times.,so has everyone else.
3600,so has everyone else.,nothing seems to work.
3601,nothing seems to work.,"all it takes is will power, and you have it."
3602,"all it takes is will power, and you have it.",then why can't i quit?
3603,then why can't i quit?,you have to believe in yourself.
3604,my back is killing me.,what did you do?
3605,what did you do?,i got out of my car.
3606,i got out of my car.,that's it?
3607,that's it?,i injured my back one time just by sneezing.
3608,i injured my back one time just by sneezing.,you should see a doctor.
3609,you should see a doctor.,my doctor said i need surgery.
3610,my doctor said i need surgery.,so?
3611,so?,"so, forget it."
3612,"so, forget it.",you don't have the money?
3613,you don't have the money?,i have no insurance.
3614,i have no insurance.,maybe a back rub would help.
3615,my brother smokes three packs a day.,three packs of what?
3616,three packs of what?,"cigarettes, of course."
3617,"cigarettes, of course.",how can he do that?
3618,how can he do that?,"when he is almost finished with one cigarette, he uses it to light another."
3619,"when he is almost finished with one cigarette, he uses it to light another.",he's a chain smoker.
3620,he's a chain smoker.,he's been a chain smoker for 30 years.
3621,he's been a chain smoker for 30 years.,that's unbelievable. can he still breathe?
3622,that's unbelievable. can he still breathe?,"he can, but the people around him can't."
3623,"he can, but the people around him can't.",how can he still be alive?
3624,how can he still be alive?,his doctor says his heart and lungs are strong and healthy.
3625,his doctor says his heart and lungs are strong and healthy.,maybe i should start smoking.
3626,i hate brushing my teeth.,it's such a chore.
3627,it's such a chore.,"brush, brush. spit, spit."
3628,"brush, brush. spit, spit.",what did they do in the old days?
3629,what did they do in the old days?,they brushed with their fingers.
3630,they brushed with their fingers.,they also ate with their fingers!
3631,they also ate with their fingers!,why do they call it the good old days?
3632,why do they call it the good old days?,maybe because they didn't have to brush and floss.
3633,maybe because they didn't have to brush and floss.,who invented flossing?
3634,who invented flossing?,"a dentist, i'm sure."
3635,"a dentist, i'm sure.",i hate flossing more than brushing!
3636,i hate flossing more than brushing!,i can't wait till all my teeth fall out.
3637,let's stop for a while. i need a break and some water.,this trail is hard to climb.
3638,this trail is hard to climb.,especially on a hot day like this.
3639,especially on a hot day like this.,i can't believe we haven't seen any animals.
3640,i can't believe we haven't seen any animals.,thank goodness! i don't want to see any wild animals.
3641,thank goodness! i don't want to see any wild animals.,all we've seen so far is a couple of lizards.
3642,all we've seen so far is a couple of lizards.,"we're hiking to lose weight, not to see goats and bears."
3643,"we're hiking to lose weight, not to see goats and bears.",i bet i've lost a couple of pounds already.
3644,i bet i've lost a couple of pounds already.,all you've lost is some sweat.
3645,all you've lost is some sweat.,i haven't even lost one pound of fat?
3646,i haven't even lost one pound of fat?,"if you want to lose fat, you've got to do this hike every day."
3647,"if you want to lose fat, you've got to do this hike every day.","okay, but let's hike in town. at least there are cats and dogs to see."
3648,"oh no, another pimple on my face.",pimples suck.
3649,pimples suck.,it seems like i get a new pimple almost every day.
3650,it seems like i get a new pimple almost every day.,maybe it's something in your diet.
3651,maybe it's something in your diet.,"no, i eat the same things day after day."
3652,"no, i eat the same things day after day.",then maybe it's in your genes.
3653,then maybe it's in your genes.,you might be right.
3654,you might be right.,do pimples run in your family?
3655,do pimples run in your family?,not that i've noticed.
3656,not that i've noticed.,"well, maybe it's from the pollution in the air."
3657,"well, maybe it's from the pollution in the air.","whatever the cause, i hate seeing them on my face."
3658,"whatever the cause, i hate seeing them on my face.","well, on the bright side, they're fun to pop."
3659,do you believe everything you hear?,i don't believe anything i don't see with my own eyes.
3660,i don't believe anything i don't see with my own eyes.,you can't believe what you hear on tv or radio.
3661,you can't believe what you hear on tv or radio.,you can't believe what you read in the newspapers.
3662,you can't believe what you read in the newspapers.,everyone tells you a different story about the same thing.
3663,everyone tells you a different story about the same thing.,three different people will give you three different stories.
3664,three different people will give you three different stories.,and the government will give you a fourth story.
3665,and the government will give you a fourth story.,"yes, like the government says not to worry about the swine flu."
